"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,4.9,17.1,0,,,NE,15,13:33,9.2,98,7, ,Calm,1024.9,16.1,77,8,ENE,9,1021.4
,2021-07-2,7.4,19.6,2.4,,,NNW,26,14:52,11.8,96,,WNW,7,1016.5,18.5,49,,NW,15,1014.1
,2021-07-3,5.4,18.6,0,,,WNW,28,12:14,13.5,70,,NNW,11,1017.3,17.1,42,8,NW,11,1014.5
,2021-07-4,3.0,16.3,0,,,NNW,33,12:17,11.1,53,,NNW,9,1019.8,15.6,39,,NNW,13,1016.2
,2021-07-5,3.6,16.3,0,,,W,30,00:40,9.5,64,,WNW,9,1020.4,15.4,45,,ENE,13,1018.0
,2021-07-6,1.7,14.7,0,,,ESE,19,13:19,6.6,79,,SW,7,1021.8,13.4,48,1,SE,9,1020.8
,2021-07-7,2.8,15.2,0,,,W,15,03:10,6.9,78,5,WSW,7,1025.9,14.5,52,4,E,9,1023.9
,2021-07-8,1.6,15.9,0,,,ENE,24,13:05,6.3,94,, ,Calm,1023.9,14.5,60,,NE,13,1019.8
,2021-07-9,3.8,15.5,0.2,,,SW,30,21:38,7.4,85,8,WSW,6,1016.2,15.0,65,8,SSW,9,1013.1
,2021-07-10,7.3,16.6,0,,,SSW,43,14:24,11.9,62,2,SW,15,1020.1,11.8,86,8,S,24,1022.0
,2021-07-11,6.4,15.8,4.0,,,WSW,20,10:36,10.1,86,8,SW,9,1028.2,15.4,65,1,ENE,9,1025.1
,2021-07-12,3.3,16.9,0.2,,,NNE,30,15:26,7.4,98,5, ,Calm,1023.1,16.9,57,1,NNE,22,1018.2
,2021-07-13,4.4,19.6,0,,,NW,28,12:00,14.3,60,,NW,13,1016.4,18.4,44,,N,11,1012.7
,2021-07-14,4.9,18.0,0,,,NW,44,13:30,13.2,56,7,N,9,1011.0,15.9,50,8,N,11,1006.2
,2021-07-15,5.9,21.6,0,,,NW,30,15:01,15.3,65,,N,9,1003.7,20.9,37,3,NNW,17,999.1
,2021-07-16,8.1,19.1,0,,,NW,44,14:23,13.6,57,8,NNW,13,992.9,15.8,43,1,NW,17,990.1
,2021-07-17,10.0,16.6,0,,,WSW,43,12:47,11.9,52,8,NW,13,992.6,15.6,27,1,WNW,20,993.4
,2021-07-18,2.1,18.8,0,,,SW,31,10:59,9.8,79,,SSE,7,1010.5,15.8,52,1,SE,15,1011.1
,2021-07-19,2.4,16.0,0,,,W,24,22:45,7.2,87,8, ,Calm,1017.5,14.8,51,6,ENE,11,1012.2
,2021-07-20,2.2,15.8,0,,,SW,50,20:46,12.0,54,8,N,6,1007.2,13.6,53,8,NNW,11,1002.0
,2021-07-21,7.9,15.4,0,,,SW,41,11:03,10.6,49,,SSW,15,1014.7,14.6,31,,SSW,22,1015.4
,2021-07-22,-0.6,15.7,0,,,NNE,33,16:16,7.2,77,, ,Calm,1018.0,14.5,53,,NE,22,1012.8
,2021-07-23,3.4,14.7,0,,,N,26,11:03,8.5,81,8,WNW,7,1009.2,13.2,58,8,N,13,1004.9
,2021-07-24,7.2,18.7,0.4,,,NNW,39,15:24,12.1,76,8,NW,7,1000.3,16.8,40,,NNW,20,996.6
,2021-07-25,5.9,15.9,0,,,W,50,13:26,12.3,36,,W,17,1000.7,14.1,27,,W,24,1004.8
,2021-07-26,4.4,20.2,0,,,WNW,33,00:01,15.1,52,,NNW,11,1011.7,18.0,45,7,WNW,6,1010.7
,2021-07-27,6.0,21.2,0,,,NW,33,17:04,14.5,59,,NNW,7,1015.6,20.3,33,,NNW,13,1011.9
,2021-07-28,12.2,23.2,0,,,WNW,65,13:02,16.9,41,5,NNE,24,1003.7,19.4,41,8,NW,15,998.2
,2021-07-29,5.5,17.8,0,,,W,35,02:17,12.4,45,, ,Calm,1012.3,15.9,49,,NE,20,1012.1
,2021-07-30,-1.0,16.8,0,,,NE,28,14:01,7.6,72,, ,Calm,1020.0,15.2,48,,NE,19,1015.8
,2021-07-31,7.3,21.8,0,,,NNE,35,14:07,14.1,42,8,NNW,7,1012.4,19.0,38,,NNE,24,1006.0